Seriation_Number	Assemblage	2814819-3-3	1044501-3-3	2016287-2-3	0-5343179-3	0-2851812-3	2155771-2-3	0-2071341-3	1463762-3-3	0-3-5064955	6607163-3-3	8744523-2-3	9472212-2-3	0-3-7025229	0-7777220-3	0-3-3454004	4-2-5156263	0-3-6478719	4-2-7225136	0-7464733-3	0-5105646-3	0-4575617-3	6913602-3-3	0-8563151-3	0-7670664-3	0-3-5710055	0-6259198-3	0-8511655-3	3585429-3-3	4-2-9746928	0-3-6217844	0-5025831-3	2040753-3-3	0-5922723-3	0-3-8052165	3-2-4	0-5820680-3	4560066-3-3	4-2-8907162	0-3-5888725	2589058-3-3	0-9656417-3	0-6777318-3	0-3-4154171	0-3-3	0-3-1805772	2657211-3-3	0-7543889-3	0-7739292-3	3933150-3-3	0-1639570-3	4-2-3	6796045-3-3	7180442-3-3	0-8684706-3	0-7155068-3	0-2634009-3	0-3-6802972	0-3-9952135	1068537-3-3	0-3-1244951	0-7349893-3	0-1117471-3	0-3-5456782	0-4216999-3	4-2-6585884	0-3-2934994	1055154-3-3	0-3-4768068	0-4484080-3	0-3-3925994
1013	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	assemblage-5-19	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6770	0	0	0	0	0	6	0	0	54435	42	0	0	0	0	0	29783	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

1014	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1014	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1014	assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3762	0	0	0	0	0	0	0	0	33581	0	0	0	0	0	0	24481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1015	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015	assemblage-14-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3670	0	0	1	0	0	0	0	0	34119	0	0	0	0	0	0	24034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1016	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1016	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1016	assemblage-8-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4979	0	0	0	0	0	0	0	5	34198	0	0	0	0	0	0	22640	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1017	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	assemblage-9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5961	0	3	0	0	0	7	0	0	33078	28	0	0	0	0	0	22697	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1018	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1018	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1018	assemblage-22-23	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4725	0	0	0	0	0	0	0	0	34538	0	0	0	0	0	0	22557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1019	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	assemblage-6-18	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3821	0	0	0	0	0	0	0	0	33822	0	0	0	0	0	0	24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1020	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1020	assemblage-24-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4644	0	0	0	0	0	0	0	0	34807	0	0	0	0	0	0	22373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1020	assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3762	0	0	0	0	0	0	0	0	33581	0	0	0	0	0	0	24481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1021	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	assemblage-24-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4644	0	0	0	0	0	0	0	0	34807	0	0	0	0	0	0	22373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	assemblage-14-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3670	0	0	1	0	0	0	0	0	34119	0	0	0	0	0	0	24034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1022	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1022	assemblage-24-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4644	0	0	0	0	0	0	0	0	34807	0	0	0	0	0	0	22373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1022	assemblage-6-18	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3821	0	0	0	0	0	0	0	0	33822	0	0	0	0	0	0	24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1023	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	assemblage-5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22457	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	assemblage-5-19	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6770	0	0	0	0	0	6	0	0	54435	42	0	0	0	0	0	29783	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

1024	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1024	assemblage-5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22457	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1024	assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3762	0	0	0	0	0	0	0	0	33581	0	0	0	0	0	0	24481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1025	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1025	assemblage-5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22457	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1025	assemblage-14-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3670	0	0	1	0	0	0	0	0	34119	0	0	0	0	0	0	24034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1026	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1026	assemblage-5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22457	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1026	assemblage-22-12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	0	0	21632	0	0	0	0	0	0	6592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1027	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027	assemblage-5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22457	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027	assemblage-6-18	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3821	0	0	0	0	0	0	0	0	33822	0	0	0	0	0	0	24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1028	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1028	assemblage-5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22457	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1028	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1029	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1029	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1029	assemblage-5-19	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6770	0	0	0	0	0	6	0	0	54435	42	0	0	0	0	0	29783	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0

1030	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1030	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1030	assemblage-17-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3762	0	0	0	0	0	0	0	0	33581	0	0	0	0	0	0	24481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1031	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	assemblage-14-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3670	0	0	1	0	0	0	0	0	34119	0	0	0	0	0	0	24034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1032	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1032	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1032	assemblage-8-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4979	0	0	0	0	0	0	0	5	34198	0	0	0	0	0	0	22640	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1033	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033	assemblage-22-12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	0	0	21632	0	0	0	0	0	0	6592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1034	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1034	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1034	assemblage-9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5961	0	3	0	0	0	7	0	0	33078	28	0	0	0	0	0	22697	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1035	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1035	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1035	assemblage-22-23	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4725	0	0	0	0	0	0	0	0	34538	0	0	0	0	0	0	22557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1036	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1036	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1036	assemblage-6-18	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3821	0	0	0	0	0	0	0	0	33822	0	0	0	0	0	0	24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1037	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037	assemblage-21-11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	2	0	21491	0	0	0	0	0	0	6702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1038	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1038	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1038	assemblage-7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5985	0	0	0	0	0	1	0	0	32893	15	0	0	0	0	0	22899	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0

1039	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1039	assemblage-8-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	0	0	0	0	43574	0	0	0	0	0	0	8839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1039	assemblage-24-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4644	0	0	0	0	0	0	0	0	34807	0	0	0	0	0	0	22373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

1040	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1040	assemblage-8-14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50322	0	16	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	43	0
1040	assemblage-21-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	50294	0	4	0	0	0	0	0	0	0	0	0	0	1	7	8	0	1	0	0	0	0	0	0	0	92	0

1041	assemblage-7-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22899	0	0	0	0	0	9	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	assemblage-8-14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50322	0	16	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	43	0
